Diagnosed Diabetes; Total; Adults Aged 18+ Years; Age-Adjusted Percentage; U.S. States; 2017
Data downloaded on 30-July-2021
State,Percentage,Lower Limit, Upper Limit
Median of States,9.4,8.7,9.8
Alabama,12.5,11.7,13.4
Alaska,7.7,6.4,9.1
Arizona,9.4,8.8,9.9
Arkansas,10.8,9.7,12.1
California,9.8,9.1,10.7
Colorado,7.0,6.5,7.6
Connecticut,8.4,7.8,9.1
Delaware,9.6,8.6,10.7
District of Columbia,8.6,7.7,9.5
Florida,8.6,7.9,9.3
Georgia,10.6,9.8,11.5
Hawaii,9.8,9.0,10.7
Idaho,7.9,7.1,8.9
Illinois,10.1,9.2,11.0
Indiana,10.6,10.1,11.2
Iowa,8.3,7.7,9.0
Kansas,9.5,9.1,10.0
Kentucky,11.3,10.4,12.3
Louisiana,12.6,11.5,13.8
Maine,8.7,8.0,9.5
Maryland,9.4,8.8,10.1
Massachusetts,8.4,7.5,9.4
Michigan,9.5,8.9,10.1
Minnesota,6.9,6.5,7.4
Mississippi,12.9,11.8,14.0
Missouri,9.1,8.4,9.9
Montana,6.7,6.0,7.6
Nebraska,9.2,8.6,9.9
Nevada,9.4,8.3,10.7
New Hampshire,7.1,6.3,7.9
New Jersey,9.8,9.0,10.7
New Mexico,9.7,8.8,10.7
New York,9.4,8.8,10.1
North Carolina,10.3,9.3,11.3
North Dakota,8.5,7.8,9.2
Ohio,9.9,9.2,10.6
Oklahoma,11.7,10.9,12.6
Oregon,8.3,7.6,9.2
Pennsylvania,9.0,8.2,9.8
Rhode Island,7.8,7.0,8.7
South Carolina,11.8,11.1,12.6
South Dakota,9.9,8.7,11.3
Tennessee,11.7,10.7,12.7
Texas,11.6,10.6,12.8
Utah,7.5,6.9,8.1
Vermont,6.8,6.2,7.6
Virginia,9.6,8.9,10.3
Washington,8.4,7.8,9.0
West Virginia,12.8,11.9,13.7
Wisconsin,8.1,7.1,9.2
Wyoming,8.1,7.3,9.0
Guam,16.0,13.7,18.6
Puerto Rico,14.9,13.8,16.1
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
